RT_Demand,DayOfWeek,HourOfDay
1097.29,2.0,0.0
1034.3,2.0,1.0
996.98,2.0,2.0
972.22,2.0,3.0
964.87,2.0,4.0
988.7,2.0,5.0
1050.48,2.0,6.0
1154.32,2.0,7.0
1243.4,2.0,8.0
1331.5,2.0,9.0
1398.42,2.0,10.0
1431.52,2.0,11.0
1460.58,2.0,12.0
1463.69,2.0,13.0
1479.46,2.0,14.0
1482.15,2.0,15.0
1498.51,2.0,16.0
1524.74,2.0,17.0
1554.03,2.0,18.0
1541.73,2.0,19.0
1493.24,2.0,20.0
1455.45,2.0,21.0
1412.23,2.0,22.0
1286.95,2.0,23.0
1166.69,3.0,0.0
1087.35,3.0,1.0
1041.42,3.0,2.0
1017.75,3.0,3.0
1006.87,3.0,4.0
1027.58,3.0,5.0
1077.13,3.0,6.0
1171.55,3.0,7.0
1284.82,3.0,8.0
1376.28,3.0,9.0
1461.55,3.0,10.0
1509.47,3.0,11.0
1562.19,3.0,12.0
1602.14,3.0,13.0
1635.56,3.0,14.0
1664.11,3.0,15.0
1689.2,3.0,16.0
1712.54,3.0,17.0
1712.36,3.0,18.0
1654.9,3.0,19.0
1588.03,3.0,20.0
1558.38,3.0,21.0
1511.01,3.0,22.0
1392.04,3.0,23.0
1273.57,4.0,0.0
1190.38,4.0,1.0
1132.77,4.0,2.0
1095.52,4.0,3.0
1089.46,4.0,4.0
1092.44,4.0,5.0
1110.69,4.0,6.0
1166.88,4.0,7.0
1243.74,4.0,8.0
1319.27,4.0,9.0
1366.92,4.0,10.0
1386.11,4.0,11.0
1396.48,4.0,12.0
1404.09,4.0,13.0
1372.18,4.0,14.0
1364.98,4.0,15.0
1350.94,4.0,16.0
1360.08,4.0,17.0
1381.06,4.0,18.0
1378.21,4.0,19.0
1336.24,4.0,20.0
1314.44,4.0,21.0
1274.51,4.0,22.0
1177.5,4.0,23.0
1085.0,5.0,0.0
1014.43,5.0,1.0
963.55,5.0,2.0
940.01,5.0,3.0
934.88,5.0,4.0
933.6,5.0,5.0
938.69,5.0,6.0
1005.5,5.0,7.0
1101.92,5.0,8.0
1192.83,5.0,9.0
1271.27,5.0,10.0
1313.46,5.0,11.0
1323.59,5.0,12.0
1328.29,5.0,13.0
1314.01,5.0,14.0
1310.53,5.0,15.0
1314.84,5.0,16.0
1327.36,5.0,17.0
1360.97,5.0,18.0
1355.23,5.0,19.0
1300.88,5.0,20.0
1285.4,5.0,21.0
1234.37,5.0,22.0
1171.49,5.0,23.0
1100.53,6.0,0.0
1032.14,6.0,1.0
992.93,6.0,2.0
970.42,6.0,3.0
959.23,6.0,4.0
957.3,6.0,5.0
968.84,6.0,6.0
1010.94,6.0,7.0
1085.77,6.0,8.0
1186.55,6.0,9.0
1271.17,6.0,10.0
1316.84,6.0,11.0
1347.58,6.0,12.0
1353.88,6.0,13.0
1352.25,6.0,14.0
1348.07,6.0,15.0
1355.99,6.0,16.0
1383.82,6.0,17.0
1411.61,6.0,18.0
1390.06,6.0,19.0
1350.29,6.0,20.0
1324.24,6.0,21.0
1241.78,6.0,22.0
1137.16,6.0,23.0
1051.29,0.0,0.0
981.72,0.0,1.0
955.56,0.0,2.0
942.59,0.0,3.0
940.54,0.0,4.0
969.69,0.0,5.0
1038.0,0.0,6.0
1146.34,0.0,7.0
1256.37,0.0,8.0
1336.82,0.0,9.0
1401.15,0.0,10.0
1442.98,0.0,11.0
1474.53,0.0,12.0
1481.52,0.0,13.0
1479.12,0.0,14.0
1468.56,0.0,15.0
1474.02,0.0,16.0
1491.88,0.0,17.0
1519.85,0.0,18.0
1502.5,0.0,19.0
1445.32,0.0,20.0
1397.12,0.0,21.0
1324.25,0.0,22.0
1209.27,0.0,23.0
1101.11,1.0,0.0
1018.01,1.0,1.0
975.08,1.0,2.0
943.39,1.0,3.0
937.46,1.0,4.0
957.38,1.0,5.0
1006.24,1.0,6.0
1109.37,1.0,7.0
1230.84,1.0,8.0
1320.25,1.0,9.0
1371.13,1.0,10.0
1412.83,1.0,11.0
1429.26,1.0,12.0
1436.37,1.0,13.0
1441.79,1.0,14.0
1436.09,1.0,15.0
1434.32,1.0,16.0
1450.63,1.0,17.0
1473.09,1.0,18.0
1457.5,1.0,19.0
1404.79,1.0,20.0
1372.07,1.0,21.0
1314.85,1.0,22.0
1189.15,1.0,23.0
1088.15,2.0,0.0
1027.74,2.0,1.0
987.54,2.0,2.0
964.94,2.0,3.0
966.86,2.0,4.0
993.81,2.0,5.0
1057.22,2.0,6.0
1165.16,2.0,7.0
1271.35,2.0,8.0
1353.14,2.0,9.0
1412.57,2.0,10.0
1447.92,2.0,11.0
1487.94,2.0,12.0
1515.04,2.0,13.0
1550.74,2.0,14.0
1577.68,2.0,15.0
1600.39,2.0,16.0
1600.28,2.0,17.0
1599.69,2.0,18.0
1561.04,2.0,19.0
1482.18,2.0,20.0
1429.32,2.0,21.0
1376.39,2.0,22.0
1262.11,2.0,23.0
1150.16,3.0,0.0
1082.33,3.0,1.0
1040.93,3.0,2.0
1018.13,3.0,3.0
1014.8,3.0,4.0
1033.66,3.0,5.0
1088.2,3.0,6.0
1195.93,3.0,7.0
1321.89,3.0,8.0
1426.9,3.0,9.0
1506.75,3.0,10.0
1567.37,3.0,11.0
1612.99,3.0,12.0
1646.79,3.0,13.0
1665.64,3.0,14.0
1684.27,3.0,15.0
1675.46,3.0,16.0
1673.06,3.0,17.0
1689.72,3.0,18.0
1674.15,3.0,19.0
1619.6,3.0,20.0
1586.57,3.0,21.0
1513.15,3.0,22.0
1387.68,3.0,23.0
1264.85,4.0,0.0
1174.99,4.0,1.0
1124.22,4.0,2.0
1099.18,4.0,3.0
1088.05,4.0,4.0
1099.18,4.0,5.0
1149.35,4.0,6.0
1259.61,4.0,7.0
1383.35,4.0,8.0
1487.49,4.0,9.0
1553.81,4.0,10.0
1626.14,4.0,11.0
1677.3,4.0,12.0
1715.9,4.0,13.0
1730.46,4.0,14.0
1733.61,4.0,15.0
1727.2,4.0,16.0
1720.96,4.0,17.0
1698.82,4.0,18.0
1663.5,4.0,19.0
1601.75,4.0,20.0
1572.01,4.0,21.0
1491.06,4.0,22.0
1384.03,4.0,23.0
1273.73,5.0,0.0
1187.52,5.0,1.0
1133.05,5.0,2.0
1105.13,5.0,3.0
1092.17,5.0,4.0
1098.01,5.0,5.0
1121.45,5.0,6.0
1181.88,5.0,7.0
1264.79,5.0,8.0
1365.88,5.0,9.0
1457.98,5.0,10.0
1525.94,5.0,11.0
1576.06,5.0,12.0
1598.99,5.0,13.0
1604.57,5.0,14.0
1605.81,5.0,15.0
1620.06,5.0,16.0
1643.99,5.0,17.0
1672.26,5.0,18.0
1661.0,5.0,19.0
1606.02,5.0,20.0
1556.0,5.0,21.0
1508.37,5.0,22.0
1401.26,5.0,23.0
1288.31,6.0,0.0
1212.14,6.0,1.0
1157.79,6.0,2.0
1131.95,6.0,3.0
1116.24,6.0,4.0
1106.63,6.0,5.0
1116.06,6.0,6.0
1160.24,6.0,7.0
1248.05,6.0,8.0
1361.32,6.0,9.0
1462.56,6.0,10.0
1527.96,6.0,11.0
1572.13,6.0,12.0
1604.56,6.0,13.0
1612.62,6.0,14.0
1631.84,6.0,15.0
1670.52,6.0,16.0
1717.18,6.0,17.0
1774.42,6.0,18.0
1758.77,6.0,19.0
1717.81,6.0,20.0
1657.06,6.0,21.0
1587.17,6.0,22.0
1438.81,6.0,23.0
1305.19,0.0,0.0
1215.63,0.0,1.0
1159.59,0.0,2.0
1133.2,0.0,3.0
1123.66,0.0,4.0
1140.01,0.0,5.0
1191.46,0.0,6.0
1300.42,0.0,7.0
1447.04,0.0,8.0
1537.63,0.0,9.0
1598.38,0.0,10.0
1656.95,0.0,11.0
1717.74,0.0,12.0
1738.8,0.0,13.0
1743.78,0.0,14.0
1733.39,0.0,15.0
1695.74,0.0,16.0
1671.11,0.0,17.0
1698.16,0.0,18.0
1661.92,0.0,19.0
1596.75,0.0,20.0
1557.79,0.0,21.0
1479.55,0.0,22.0
1364.97,0.0,23.0
1247.72,1.0,0.0
1172.81,1.0,1.0
1130.19,1.0,2.0
1095.55,1.0,3.0
1083.06,1.0,4.0
1097.36,1.0,5.0
1147.18,1.0,6.0
1256.16,1.0,7.0
1373.9,1.0,8.0
1445.25,1.0,9.0
1469.98,1.0,10.0
1495.61,1.0,11.0
1497.9,1.0,12.0
1488.39,1.0,13.0
1496.39,1.0,14.0
1486.52,1.0,15.0
1485.85,1.0,16.0
1480.19,1.0,17.0
1509.1,1.0,18.0
1496.07,1.0,19.0
1446.72,1.0,20.0
1409.53,1.0,21.0
1344.17,1.0,22.0
1244.98,1.0,23.0
1146.65,2.0,0.0
1078.01,2.0,1.0
1035.99,2.0,2.0
1012.8,2.0,3.0
1004.45,2.0,4.0
1026.46,2.0,5.0
1085.8,2.0,6.0
1194.53,2.0,7.0
1296.29,2.0,8.0
1356.85,2.0,9.0
1398.09,2.0,10.0
1432.56,2.0,11.0
1445.98,2.0,12.0
1455.77,2.0,13.0
1457.81,2.0,14.0
1454.77,2.0,15.0
1462.96,2.0,16.0
1482.52,2.0,17.0
1514.53,2.0,18.0
1495.81,2.0,19.0
1445.67,2.0,20.0
1411.17,2.0,21.0
1350.32,2.0,22.0
1240.84,2.0,23.0
1129.47,3.0,0.0
1055.05,3.0,1.0
1010.3,3.0,2.0
979.15,3.0,3.0
972.21,3.0,4.0
996.26,3.0,5.0
1058.61,3.0,6.0
1167.27,3.0,7.0
1267.09,3.0,8.0
1331.7,3.0,9.0
1362.14,3.0,10.0
1386.2,3.0,11.0
1393.85,3.0,12.0
1409.27,3.0,13.0
1412.78,3.0,14.0
1403.31,3.0,15.0
1389.16,3.0,16.0
1408.51,3.0,17.0
1419.24,3.0,18.0
1404.37,3.0,19.0
1363.0,3.0,20.0
1346.92,3.0,21.0
1283.1,3.0,22.0
1181.47,3.0,23.0
1078.07,4.0,0.0
1014.77,4.0,1.0
977.45,4.0,2.0
951.96,4.0,3.0
949.28,4.0,4.0
973.88,4.0,5.0
1033.18,4.0,6.0
1133.79,4.0,7.0
1237.47,4.0,8.0
1319.35,4.0,9.0
1371.5,4.0,10.0
1403.68,4.0,11.0
1400.32,4.0,12.0
1403.44,4.0,13.0
1393.32,4.0,14.0
1367.05,4.0,15.0
1353.73,4.0,16.0
1360.51,4.0,17.0
1379.28,4.0,18.0
1368.58,4.0,19.0
1331.07,4.0,20.0
1312.17,4.0,21.0
1269.25,4.0,22.0
1174.71,4.0,23.0
1077.35,5.0,0.0
1022.22,5.0,1.0
982.31,5.0,2.0
967.85,5.0,3.0
965.99,5.0,4.0
972.99,5.0,5.0
997.19,5.0,6.0
1050.76,5.0,7.0
1146.34,5.0,8.0
1264.55,5.0,9.0
1364.78,5.0,10.0
1439.5,5.0,11.0
1504.02,5.0,12.0
1534.7,5.0,13.0
1555.14,5.0,14.0
1572.94,5.0,15.0
1617.03,5.0,16.0
1655.86,5.0,17.0
1691.47,5.0,18.0
1685.88,5.0,19.0
1637.63,5.0,20.0
1617.19,5.0,21.0
1536.23,5.0,22.0
1416.24,5.0,23.0
1304.18,6.0,0.0
1214.57,6.0,1.0
1160.14,6.0,2.0
1124.02,6.0,3.0
1106.07,6.0,4.0
1104.62,6.0,5.0
1115.2,6.0,6.0
1166.46,6.0,7.0
1273.64,6.0,8.0
1392.93,6.0,9.0
1511.76,6.0,10.0
1604.96,6.0,11.0
1645.62,6.0,12.0
1671.0,6.0,13.0
1670.94,6.0,14.0
1686.34,6.0,15.0
1711.52,6.0,16.0
1760.33,6.0,17.0
1800.09,6.0,18.0
1779.31,6.0,19.0
1737.6,6.0,20.0
1709.24,6.0,21.0
1631.94,6.0,22.0
1500.54,6.0,23.0
1382.02,0.0,0.0
1294.36,0.0,1.0
1245.92,0.0,2.0
1220.27,0.0,3.0
1209.09,0.0,4.0
1232.6,0.0,5.0
1291.08,0.0,6.0
1412.45,0.0,7.0
1554.11,0.0,8.0
1665.42,0.0,9.0
1747.31,0.0,10.0
1854.2,0.0,11.0
1913.55,0.0,12.0
1964.71,0.0,13.0
1995.43,0.0,14.0
1989.83,0.0,15.0
1956.43,0.0,16.0
1910.69,0.0,17.0
1924.27,0.0,18.0
1902.67,0.0,19.0
1842.2,0.0,20.0
1809.58,0.0,21.0
1704.07,0.0,22.0
1559.9,0.0,23.0
1424.64,1.0,0.0
1349.62,1.0,1.0
1283.79,1.0,2.0
1244.87,1.0,3.0
1229.16,1.0,4.0
1241.14,1.0,5.0
1283.9,1.0,6.0
1398.61,1.0,7.0
1528.18,1.0,8.0
1632.39,1.0,9.0
1715.75,1.0,10.0
1780.83,1.0,11.0
1813.71,1.0,12.0
1835.49,1.0,13.0
1852.5,1.0,14.0
1852.69,1.0,15.0
1852.38,1.0,16.0
1867.23,1.0,17.0
1876.18,1.0,18.0
1850.46,1.0,19.0
1775.49,1.0,20.0
1715.76,1.0,21.0
1622.31,1.0,22.0
1466.67,1.0,23.0
1330.41,2.0,0.0
1239.9,2.0,1.0
1174.28,2.0,2.0
1138.37,2.0,3.0
1117.37,2.0,4.0
1132.29,2.0,5.0
1184.13,2.0,6.0
1278.88,2.0,7.0
1384.22,2.0,8.0
1450.26,2.0,9.0
1521.7,2.0,10.0
1561.64,2.0,11.0
1584.69,2.0,12.0
1606.6,2.0,13.0
1609.64,2.0,14.0
1600.75,2.0,15.0
1606.63,2.0,16.0
1610.64,2.0,17.0
1622.19,2.0,18.0
1595.03,2.0,19.0
1552.99,2.0,20.0
1547.9,2.0,21.0
1468.44,2.0,22.0
1343.34,2.0,23.0
1234.9,3.0,0.0
1166.6,3.0,1.0
1121.21,3.0,2.0
1091.45,3.0,3.0
1077.8,3.0,4.0
1107.73,3.0,5.0
1163.88,3.0,6.0
1282.69,3.0,7.0
1393.78,3.0,8.0
1487.69,3.0,9.0
1563.05,3.0,10.0
1619.81,3.0,11.0
1675.73,3.0,12.0
1718.09,3.0,13.0
1737.21,3.0,14.0
1743.2,3.0,15.0
1737.51,3.0,16.0
1734.22,3.0,17.0
1725.35,3.0,18.0
1700.31,3.0,19.0
1644.64,3.0,20.0
1625.57,3.0,21.0
1564.58,3.0,22.0
1446.07,3.0,23.0
1323.45,4.0,0.0
