RT_Demand,DayOfWeek,HourOfDay
1057.58,2.0,0.0
1014.0,2.0,1.0
984.26,2.0,2.0
978.7,2.0,3.0
979.0,2.0,4.0
1006.16,2.0,5.0
1077.73,2.0,6.0
1186.88,2.0,7.0
1279.2,2.0,8.0
1328.32,2.0,9.0
1324.2,2.0,10.0
1330.17,2.0,11.0
1332.94,2.0,12.0
1329.85,2.0,13.0
1321.46,2.0,14.0
1309.49,2.0,15.0
1298.8,2.0,16.0
1344.07,2.0,17.0
1352.99,2.0,18.0
1336.38,2.0,19.0
1337.82,2.0,20.0
1274.03,2.0,21.0
1185.19,2.0,22.0
1092.03,2.0,23.0
1014.06,3.0,0.0
961.15,3.0,1.0
946.55,3.0,2.0
956.27,3.0,3.0
952.47,3.0,4.0
985.16,3.0,5.0
1050.95,3.0,6.0
1158.96,3.0,7.0
1251.57,3.0,8.0
1320.99,3.0,9.0
1350.61,3.0,10.0
1377.66,3.0,11.0
1392.06,3.0,12.0
1404.68,3.0,13.0
1394.45,3.0,14.0
1372.85,3.0,15.0
1363.15,3.0,16.0
1395.47,3.0,17.0
1421.07,3.0,18.0
1380.61,3.0,19.0
1347.33,3.0,20.0
1280.52,3.0,21.0
1195.03,3.0,22.0
1109.09,3.0,23.0
1028.88,4.0,0.0
980.71,4.0,1.0
952.41,4.0,2.0
958.87,4.0,3.0
952.32,4.0,4.0
967.79,4.0,5.0
1041.54,4.0,6.0
1142.47,4.0,7.0
1236.96,4.0,8.0
1319.29,4.0,9.0
1366.75,4.0,10.0
1402.06,4.0,11.0
1402.45,4.0,12.0
1401.69,4.0,13.0
1373.5,4.0,14.0
1357.28,4.0,15.0
1330.57,4.0,16.0
1364.77,4.0,17.0
1365.8,4.0,18.0
1328.34,4.0,19.0
1307.09,4.0,20.0
1244.58,4.0,21.0
1164.61,4.0,22.0
1081.91,4.0,23.0
1012.21,5.0,0.0
961.41,5.0,1.0
932.52,5.0,2.0
944.69,5.0,3.0
942.21,5.0,4.0
953.67,5.0,5.0
989.15,5.0,6.0
1041.46,5.0,7.0
1109.81,5.0,8.0
1156.12,5.0,9.0
1181.95,5.0,10.0
1182.9,5.0,11.0
1173.29,5.0,12.0
1159.11,5.0,13.0
1127.04,5.0,14.0
1107.45,5.0,15.0
1116.78,5.0,16.0
1151.31,5.0,17.0
1200.49,5.0,18.0
1222.45,5.0,19.0
1242.1,5.0,20.0
1203.62,5.0,21.0
1126.37,5.0,22.0
1055.28,5.0,23.0
990.99,6.0,0.0
946.8,6.0,1.0
915.85,6.0,2.0
923.69,6.0,3.0
915.73,6.0,4.0
935.63,6.0,5.0
961.33,6.0,6.0
1014.54,6.0,7.0
1080.76,6.0,8.0
1163.97,6.0,9.0
1219.04,6.0,10.0
1237.25,6.0,11.0
1211.99,6.0,12.0
1203.25,6.0,13.0
1169.24,6.0,14.0
1142.91,6.0,15.0
1144.73,6.0,16.0
1196.87,6.0,17.0
1263.48,6.0,18.0
1284.09,6.0,19.0
1275.62,6.0,20.0
1210.66,6.0,21.0
1126.2,6.0,22.0
1033.93,6.0,23.0
961.91,0.0,0.0
931.57,0.0,1.0
911.43,0.0,2.0
927.7,0.0,3.0
940.91,0.0,4.0
973.64,0.0,5.0
1044.17,0.0,6.0
1141.33,0.0,7.0
1226.5,0.0,8.0
1247.6,0.0,9.0
1240.42,0.0,10.0
1241.14,0.0,11.0
1225.07,0.0,12.0
1216.37,0.0,13.0
1184.63,0.0,14.0
1155.32,0.0,15.0
1148.85,0.0,16.0
1191.43,0.0,17.0
1245.15,0.0,18.0
1271.44,0.0,19.0
1284.66,0.0,20.0
1238.41,0.0,21.0
1150.17,0.0,22.0
1063.5,0.0,23.0
989.74,1.0,0.0
944.96,1.0,1.0
925.7,1.0,2.0
944.41,1.0,3.0
944.2,1.0,4.0
985.18,1.0,5.0
1064.37,1.0,6.0
1157.81,1.0,7.0
1227.47,1.0,8.0
1247.5,1.0,9.0
1246.33,1.0,10.0
1229.93,1.0,11.0
1228.91,1.0,12.0
1219.98,1.0,13.0
1190.63,1.0,14.0
1167.33,1.0,15.0
1161.78,1.0,16.0
1197.35,1.0,17.0
1255.03,1.0,18.0
1263.35,1.0,19.0
1267.22,1.0,20.0
1238.6,1.0,21.0
1154.66,1.0,22.0
1074.23,1.0,23.0
1000.88,2.0,0.0
968.32,2.0,1.0
953.92,2.0,2.0
938.79,2.0,3.0
939.69,2.0,4.0
985.42,2.0,5.0
1052.16,2.0,6.0
1152.76,2.0,7.0
1222.84,2.0,8.0
1249.68,2.0,9.0
1244.53,2.0,10.0
1239.48,2.0,11.0
1219.78,2.0,12.0
1207.66,2.0,13.0
1191.72,2.0,14.0
1172.05,2.0,15.0
1163.07,2.0,16.0
1177.19,2.0,17.0
1226.42,2.0,18.0
1253.65,2.0,19.0
1274.02,2.0,20.0
1247.35,2.0,21.0
1173.62,2.0,22.0
1083.77,2.0,23.0
1019.97,3.0,0.0
961.09,3.0,1.0
930.91,3.0,2.0
924.54,3.0,3.0
918.83,3.0,4.0
961.88,3.0,5.0
1039.71,3.0,6.0
1126.48,3.0,7.0
1212.88,3.0,8.0
1285.33,3.0,9.0
1318.71,3.0,10.0
1346.92,3.0,11.0
1374.16,3.0,12.0
1402.92,3.0,13.0
1401.92,3.0,14.0
1389.28,3.0,15.0
1392.45,3.0,16.0
1435.46,3.0,17.0
1439.6,3.0,18.0
1371.37,3.0,19.0
1309.45,3.0,20.0
1212.59,3.0,21.0
1073.22,3.0,22.0
946.89,3.0,23.0
866.38,4.0,0.0
802.07,4.0,1.0
754.22,4.0,2.0
745.63,4.0,3.0
738.0,4.0,4.0
753.83,4.0,5.0
815.9,4.0,6.0
881.73,4.0,7.0
959.1,4.0,8.0
