RT_Demand,DayOfWeek,HourOfDay
1162.76,2.0,0.0
1091.78,2.0,1.0
1041.75,2.0,2.0
1013.33,2.0,3.0
1002.86,2.0,4.0
1026.57,2.0,5.0
1078.64,2.0,6.0
1184.36,2.0,7.0
1298.53,2.0,8.0
1383.97,2.0,9.0
1443.49,2.0,10.0
1487.81,2.0,11.0
1529.27,2.0,12.0
1568.16,2.0,13.0
1599.86,2.0,14.0
1613.77,2.0,15.0
1629.69,2.0,16.0
1642.67,2.0,17.0
1653.96,2.0,18.0
1627.74,2.0,19.0
1568.0,2.0,20.0
1520.46,2.0,21.0
1457.57,2.0,22.0
1326.92,2.0,23.0
1203.96,3.0,0.0
1113.37,3.0,1.0
1054.88,3.0,2.0
1019.07,3.0,3.0
1004.71,3.0,4.0
1021.36,3.0,5.0
1076.22,3.0,6.0
1173.7,3.0,7.0
1297.19,3.0,8.0
1413.57,3.0,9.0
1507.4,3.0,10.0
1599.3,3.0,11.0
1688.7,3.0,12.0
1765.73,3.0,13.0
1843.86,3.0,14.0
1907.11,3.0,15.0
1962.46,3.0,16.0
2013.4,3.0,17.0
2046.82,3.0,18.0
2015.57,3.0,19.0
1895.48,3.0,20.0
1807.46,3.0,21.0
1720.79,3.0,22.0
1564.95,3.0,23.0
1416.0,4.0,0.0
1304.44,4.0,1.0
1231.12,4.0,2.0
1182.56,4.0,3.0
1153.44,4.0,4.0
1152.55,4.0,5.0
1177.56,4.0,6.0
1225.84,4.0,7.0
1301.54,4.0,8.0
1376.88,4.0,9.0
1429.44,4.0,10.0
1457.56,4.0,11.0
1467.79,4.0,12.0
1461.54,4.0,13.0
1451.51,4.0,14.0
1440.75,4.0,15.0
1434.45,4.0,16.0
1437.25,4.0,17.0
1449.95,4.0,18.0
1429.06,4.0,19.0
1381.45,4.0,20.0
1348.36,4.0,21.0
1295.97,4.0,22.0
1205.15,4.0,23.0
1111.24,5.0,0.0
1036.59,5.0,1.0
983.53,5.0,2.0
951.51,5.0,3.0
933.21,5.0,4.0
933.7,5.0,5.0
947.06,5.0,6.0
978.76,5.0,7.0
1056.4,5.0,8.0
