RT_Demand,DayOfWeek,HourOfDay
992.46,3.0,0.0
929.36,3.0,1.0
891.13,3.0,2.0
873.88,3.0,3.0
870.68,3.0,4.0
897.58,3.0,5.0
982.22,3.0,6.0
1115.08,3.0,7.0
1207.01,3.0,8.0
1257.02,3.0,9.0
1275.81,3.0,10.0
1292.8,3.0,11.0
1310.57,3.0,12.0
1332.21,3.0,13.0
1325.21,3.0,14.0
1320.11,3.0,15.0
1318.3,3.0,16.0
1333.49,3.0,17.0
1357.41,3.0,18.0
1376.62,3.0,19.0
1365.1,3.0,20.0
1283.85,3.0,21.0
1179.75,3.0,22.0
1073.89,3.0,23.0
981.65,4.0,0.0
919.58,4.0,1.0
879.5,4.0,2.0
861.71,4.0,3.0
860.7,4.0,4.0
888.05,4.0,5.0
966.42,4.0,6.0
1096.68,4.0,7.0
1199.97,4.0,8.0
1267.52,4.0,9.0
1302.26,4.0,10.0
1329.58,4.0,11.0
1345.65,4.0,12.0
1343.13,4.0,13.0
1331.66,4.0,14.0
1310.84,4.0,15.0
1280.01,4.0,16.0
1267.89,4.0,17.0
1288.67,4.0,18.0
1319.87,4.0,19.0
1311.4,4.0,20.0
1243.65,4.0,21.0
1155.98,4.0,22.0
1060.14,4.0,23.0
967.11,5.0,0.0
903.26,5.0,1.0
863.58,5.0,2.0
841.83,5.0,3.0
834.63,5.0,4.0
849.56,5.0,5.0
889.18,5.0,6.0
957.33,5.0,7.0
1033.32,5.0,8.0
1105.11,5.0,9.0
1141.75,5.0,10.0
1145.28,5.0,11.0
1138.19,5.0,12.0
1125.02,5.0,13.0
1112.73,5.0,14.0
1099.21,5.0,15.0
1101.35,5.0,16.0
1130.85,5.0,17.0
1183.07,5.0,18.0
1232.98,5.0,19.0
1230.26,5.0,20.0
1168.11,5.0,21.0
1093.65,5.0,22.0
1009.54,5.0,23.0
930.64,6.0,0.0
875.23,6.0,1.0
840.19,6.0,2.0
822.06,6.0,3.0
816.84,6.0,4.0
826.12,6.0,5.0
858.48,6.0,6.0
907.18,6.0,7.0
976.45,6.0,8.0
1057.3,6.0,9.0
1100.21,6.0,10.0
1111.46,6.0,11.0
1106.89,6.0,12.0
1114.04,6.0,13.0
1114.15,6.0,14.0
1118.02,6.0,15.0
1130.75,6.0,16.0
1172.32,6.0,17.0
1224.59,6.0,18.0
1271.24,6.0,19.0
1262.37,6.0,20.0
1185.46,6.0,21.0
1087.73,6.0,22.0
989.35,6.0,23.0
909.53,0.0,0.0
863.79,0.0,1.0
837.92,0.0,2.0
829.0,0.0,3.0
836.55,0.0,4.0
873.35,0.0,5.0
969.41,0.0,6.0
1118.63,0.0,7.0
1224.88,0.0,8.0
1275.28,0.0,9.0
1287.78,0.0,10.0
1282.97,0.0,11.0
1278.65,0.0,12.0
1269.36,0.0,13.0
1270.33,0.0,14.0
1270.27,0.0,15.0
1268.63,0.0,16.0
1291.39,0.0,17.0
1338.79,0.0,18.0
1388.23,0.0,19.0
1361.35,0.0,20.0
1273.15,0.0,21.0
1162.65,0.0,22.0
1051.71,0.0,23.0
960.99,1.0,0.0
908.31,1.0,1.0
880.64,1.0,2.0
862.39,1.0,3.0
866.54,1.0,4.0
899.88,1.0,5.0
993.22,1.0,6.0
1142.85,1.0,7.0
1239.39,1.0,8.0
1282.29,1.0,9.0
1299.23,1.0,10.0
1322.53,1.0,11.0
1332.17,1.0,12.0
1326.05,1.0,13.0
1309.0,1.0,14.0
1295.26,1.0,15.0
1288.47,1.0,16.0
1296.24,1.0,17.0
1340.01,1.0,18.0
1390.54,1.0,19.0
1371.49,1.0,20.0
1285.78,1.0,21.0
1177.78,1.0,22.0
1066.68,1.0,23.0
976.99,2.0,0.0
918.87,2.0,1.0
882.62,2.0,2.0
870.89,2.0,3.0
874.03,2.0,4.0
910.66,2.0,5.0
999.7,2.0,6.0
1141.42,2.0,7.0
1240.16,2.0,8.0
1280.52,2.0,9.0
1288.58,2.0,10.0
1305.13,2.0,11.0
1324.61,2.0,12.0
1346.71,2.0,13.0
1370.13,2.0,14.0
1356.24,2.0,15.0
1338.6,2.0,16.0
1345.18,2.0,17.0
1391.5,2.0,18.0
1407.64,2.0,19.0
1370.35,2.0,20.0
1287.24,2.0,21.0
1174.11,2.0,22.0
1074.13,2.0,23.0
989.62,3.0,0.0
926.62,3.0,1.0
893.38,3.0,2.0
874.12,3.0,3.0
877.3,3.0,4.0
906.43,3.0,5.0
995.65,3.0,6.0
1131.48,3.0,7.0
1230.16,3.0,8.0
1271.17,3.0,9.0
1270.91,3.0,10.0
1264.33,3.0,11.0
1258.73,3.0,12.0
1248.93,3.0,13.0
1244.73,3.0,14.0
1235.67,3.0,15.0
1240.27,3.0,16.0
1266.59,3.0,17.0
1319.42,3.0,18.0
1375.44,3.0,19.0
1359.01,3.0,20.0
1285.05,3.0,21.0
1187.39,3.0,22.0
1078.61,3.0,23.0
989.05,4.0,0.0
928.76,4.0,1.0
895.88,4.0,2.0
883.74,4.0,3.0
887.77,4.0,4.0
922.55,4.0,5.0
1014.55,4.0,6.0
1159.75,4.0,7.0
1265.3,4.0,8.0
1304.02,4.0,9.0
1295.42,4.0,10.0
1279.43,4.0,11.0
1259.28,4.0,12.0
1240.35,4.0,13.0
1224.54,4.0,14.0
1205.46,4.0,15.0
1205.27,4.0,16.0
1231.01,4.0,17.0
1277.56,4.0,18.0
1332.47,4.0,19.0
1319.6,4.0,20.0
1257.96,4.0,21.0
1172.85,4.0,22.0
1074.65,4.0,23.0
984.25,5.0,0.0
919.06,5.0,1.0
879.14,5.0,2.0
858.46,5.0,3.0
855.72,5.0,4.0
865.21,5.0,5.0
899.7,5.0,6.0
963.39,5.0,7.0
1038.61,5.0,8.0
1117.2,5.0,9.0
1145.11,5.0,10.0
1140.93,5.0,11.0
1131.5,5.0,12.0
1121.71,5.0,13.0
1116.8,5.0,14.0
1122.53,5.0,15.0
1138.63,5.0,16.0
1177.46,5.0,17.0
1229.77,5.0,18.0
1291.96,5.0,19.0
1272.61,5.0,20.0
1205.41,5.0,21.0
1127.4,5.0,22.0
1039.69,5.0,23.0
955.05,6.0,0.0
892.77,6.0,1.0
854.88,6.0,2.0
824.47,6.0,3.0
810.12,6.0,4.0
810.0,6.0,5.0
827.86,6.0,6.0
871.96,6.0,7.0
939.79,6.0,8.0
1022.2,6.0,9.0
1068.77,6.0,10.0
1079.81,6.0,11.0
1079.1,6.0,12.0
1078.97,6.0,13.0
1065.3,6.0,14.0
1061.92,6.0,15.0
1083.2,6.0,16.0
1137.63,6.0,17.0
1209.75,6.0,18.0
1266.21,6.0,19.0
1238.48,6.0,20.0
1166.06,6.0,21.0
1082.05,6.0,22.0
993.06,6.0,23.0
918.11,0.0,0.0
870.83,0.0,1.0
843.06,0.0,2.0
833.06,0.0,3.0
841.08,0.0,4.0
871.44,0.0,5.0
950.08,0.0,6.0
1068.16,0.0,7.0
