date,短期预测湿度,短期预测风速,短期预测风向,短期预测温度,短期预测气压,实际风速,HourOfDay,短期预测风向sin,短期预测风向cos,实际功率
2018/7/1 0:00,92,4.9,224,27.1,1004,3.02,0,-0.69465837,-0.7193398,-0.22
2018/7/1 1:00,96,0.7,135,26.4,1003,2.43,1,0.707106781,-0.707106781,-0.18
2018/7/1 2:00,97,0.8,140,26.2,1003,1.25,2,0.64278761,-0.766044443,-0.15
2018/7/1 3:00,97,0.9,159,26.1,1003,0.58,3,0.35836795,-0.933580426,-0.14
2018/7/1 4:00,95,0.9,180,26.1,1003,0.85,4,1.22E-16,-1,-0.15
2018/7/1 5:00,94,1,180,26.3,1003,1.2,5,1.22E-16,-1,-0.14
2018/7/1 6:00,93,0.7,180,26.6,1003,1.45,6,1.22E-16,-1,-0.14
2018/7/1 7:00,92,0.3,162,27,1004,3.25,7,0.309016994,-0.951056516,-0.1
2018/7/1 8:00,89,0,0,27.4,1004,2.46,8,0,1,-0.15
2018/7/1 9:00,87,0.4,243,27.8,1004,2.66,9,-0.891006524,-0.4539905,-0.15
2018/7/1 10:00,85,1.3,228,28.2,1004,3.02,10,-0.743144825,-0.669130606,0.1
2018/7/1 11:00,84,2.3,209,28.6,1004,2.08,11,-0.48480962,-0.874619707,-0.14
2018/7/1 12:00,83,3.7,193,28.8,1003,2.93,12,-0.224951054,-0.974370065,0.42
2018/7/1 13:00,83,5,185,28.9,1003,4,13,-0.087155743,-0.996194698,1.5
2018/7/1 14:00,84,5.5,185,28.9,1002,4.62,14,-0.087155743,-0.996194698,2.88
2018/7/1 15:00,85,5.1,195,28.7,1002,7.07,15,-0.258819045,-0.965925826,11.08
2018/7/1 16:00,86,4.3,211,28.4,1002,2.34,16,-0.515038075,-0.857167301,-0.22
2018/7/1 17:00,88,4,225,28.1,1002,1.55,17,-0.707106781,-0.707106781,-0.19
2018/7/1 18:00,89,3.8,223,27.8,1002,0.75,18,-0.68199836,-0.731353702,-0.19
2018/7/1 19:00,89,3.6,212,27.6,1003,1.07,19,-0.529919264,-0.848048096,-0.2
2018/7/1 20:00,90,3,204,27.5,1003,1.95,20,-0.406736643,-0.913545458,-0.21
2018/7/1 21:00,90,1.6,207,27.4,1003,2.85,21,-0.4539905,-0.891006524,-0.19
2018/7/1 22:00,90,0.6,252,27.3,1003,1.29,22,-0.951056516,-0.309016994,-0.21
2018/7/1 23:00,90,0.8,270,27.2,1003,1.19,23,-1,-1.84E-16,-0.21
2018/7/2 0:00,90,1.7,220,27.1,1003,2.06,0,-0.64278761,-0.766044443,-0.18
2018/7/2 1:00,92,2.8,232,27.3,1002,2.7,1,-0.788010754,-0.615661475,-0.17
2018/7/2 2:00,92,2.5,238,27.2,1002,2.35,2,-0.848048096,-0.529919264,-0.16
2018/7/2 3:00,92,2.6,233,27.1,1002,2.42,3,-0.79863551,-0.601815023,-0.15
2018/7/2 4:00,92,3.3,221,26.9,1002,2.28,4,-0.656059029,-0.75470958,-0.15
2018/7/2 5:00,92,4.2,216,26.9,1002,1.27,5,-0.587785252,-0.809016994,-0.17
2018/7/2 6:00,92,4.8,216,27.1,1002,0.91,6,-0.587785252,-0.809016994,-0.17
2018/7/2 7:00,90,5.1,215,27.3,1003,1.13,7,-0.573576436,-0.819152044,-0.14
2018/7/2 8:00,88,5.3,213,27.7,1003,1.85,8,-0.544639035,-0.838670568,-0.13
2018/7/2 9:00,86,5.5,211,28.2,1003,1.89,9,-0.515038075,-0.857167301,-0.15
2018/7/2 10:00,85,5.8,208,28.6,1003,2.23,10,-0.469471563,-0.882947593,-0.13
2018/7/2 11:00,84,6.5,207,28.9,1003,2.16,11,-0.4539905,-0.891006524,-0.14
2018/7/2 12:00,83,7.8,210,29.1,1003,3.76,12,-0.5,-0.866025404,1.22
2018/7/2 13:00,84,9.2,212,29.1,1002,4.36,13,-0.529919264,-0.848048096,2.17
2018/7/2 14:00,85,10.4,214,28.9,1002,4.95,14,-0.559192903,-0.829037573,4.08
2018/7/2 15:00,86,11.2,216,28.6,1002,5.89,15,-0.587785252,-0.809016994,8.18
2018/7/2 16:00,87,11.5,215,28.4,1001,6.45,16,-0.573576436,-0.819152044,11.42
2018/7/2 17:00,88,11.7,215,28.1,1001,8.33,17,-0.573576436,-0.819152044,19.68
2018/7/2 18:00,88,11.8,214,27.9,1001,7.04,18,-0.559192903,-0.829037573,12.86
2018/7/2 19:00,89,11.8,212,27.8,1002,7.45,19,-0.529919264,-0.848048096,13.78
