短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
76,8.5,18.1,1006,0.8480480961564261,0.5299192642332049,34.45345,9.055454545,0
78,9.5,18.1,1005,0.90630778703665,0.4226182617406994,39.40294,11.01393939,1
79,10.6,18.0,1004,0.9455185755993168,0.3255681544571567,32.30527,8.681212121,2
80,11.6,17.9,1004,0.9612616959383188,0.2756373558169991,32.87878,9.505757576,3
82,12.4,17.7,1004,0.9702957262759964,0.2419218955996679,36.51809,10.50212121,4
83,12.4,17.6,1004,0.9702957262759964,0.2419218955996679,35.37783,9.678181818,5
84,11.5,17.5,1004,0.9702957262759964,0.2419218955996679,30.10081,8.563636364,6
86,10.3,17.4,1005,0.9659258262890684,0.2588190451025207,34.00768,8.987575758,7
86,9.4,17.4,1005,0.9510565162951536,0.3090169943749474,35.71947,9.420606061,8
86,9.0,17.4,1005,0.9335804264972016,0.3583679495453004,35.91621,9.446969697,9
86,9.1,17.3,1006,0.90630778703665,0.4226182617406994,38.25735,9.761212121,10
85,9.1,17.3,1006,0.8829475928589269,0.4694715627858908,39.38667,10.79575758,11
85,8.7,17.3,1006,0.8386705679454239,0.5446390350150272,38.53332,11.23060606,12
85,8.1,17.2,1006,0.7986355100472928,0.6018150231520484,37.88565,10.68090909,13
85,7.6,17.1,1005,0.766044443118978,0.6427876096865394,38.77075,10.71333333,14
86,7.3,17.0,1004,0.754709580222772,0.6560590289905073,39.86678,10.80454545,15
86,7.2,16.8,1004,0.7431448254773941,0.6691306063588582,37.80213,9.918484848,16
86,7.4,16.8,1004,0.7313537016191705,0.6819983600624985,35.62381,9.794545455,17
85,7.9,16.9,1004,0.6691306063588582,0.7431448254773942,35.85674,9.79030303,18
83,8.6,17.1,1005,0.6018150231520483,0.7986355100472928,38.20524,9.88,19
82,9.1,17.3,1005,0.5877852522924731,0.8090169943749475,38.32765,10.56363636,20
82,9.2,17.5,1005,0.6427876096865393,0.766044443118978,35.19863,10.37606061,21
82,9.1,17.6,1005,0.7193398003386511,0.6946583704589974,28.86909,9.072121212,22
83,9.2,17.6,1004,0.8090169943749475,0.5877852522924731,28.99291,9.045454545,23
84,9.5,17.5,1003,0.8829475928589269,0.4694715627858908,28.59168,8.501212121,0
85,9.9,17.3,1003,0.9205048534524404,0.3907311284892739,26.97686,7.687575758,1
86,9.8,17.1,1002,0.9396926207859084,0.3420201433256688,23.98398,7.058181818,2
87,9.1,17.0,1002,0.9455185755993168,0.3255681544571567,18.7806,6.821212121,3
88,8.3,17.0,1002,0.9271838545667874,0.3746065934159119,18.37613,6.85969697,4
89,7.6,17.0,1002,0.898794046299167,0.4383711467890774,22.64424,7.490909091,5
89,7.4,16.9,1002,0.8660254037844386,0.5000000000000001,22.11191,7.236969697,6
90,7.6,16.8,1003,0.8290375725550417,0.5591929034707468,26.10849,7.643636364,7
90,8.0,16.7,1003,0.7986355100472928,0.6018150231520484,26.41447,8.041515152,8
91,8.4,16.6,1003,0.7771459614569708,0.6293203910498375,34.19537,9.513333333,9
92,8.6,16.4,1003,0.754709580222772,0.6560590289905073,31.95452,9.031212121,10
92,8.7,16.3,1003,0.7313537016191705,0.6819983600624985,26.44876,8.181212121,11
88,8.8,15.9,1004,0.7193398003386511,0.6946583704589974,24.55937,8.521818182,12
87,8.9,15.8,1003,0.7193398003386511,0.6946583704589974,17.03093,6.257575758,13
87,9.1,15.8,1003,0.7193398003386511,0.6946583704589974,25.71596,7.332727273,14
86,8.8,15.8,1002,0.7071067811865476,0.7071067811865476,29.5417,7.821818182,15
85,8.3,15.9,1002,0.6946583704589973,0.7193398003386512,27.72424,7.956363636,16
85,8.0,15.9,1002,0.6819983600624985,0.7313537016191706,28.54592,7.926060606,17
84,8.0,15.9,1002,0.6946583704589973,0.7193398003386512,26.80904,8.372727273,18
83,8.3,15.9,1003,0.7193398003386511,0.6946583704589974,31.89311,8.837272727,19
84,8.8,15.9,1004,0.7313537016191705,0.6819983600624985,32.17106,8.913636364,20
84,9.6,15.9,1005,0.7431448254773941,0.6691306063588582,30.65743,8.859393939,21
85,10.2,15.9,1005,0.754709580222772,0.6560590289905073,26.63933,8.204848485,22
85,10.9,15.8,1005,0.7771459614569708,0.6293203910498375,19.39934,7.164848485,23
86,11.3,15.7,1004,0.8090169943749475,0.5877852522924731,24.87487,8.003333333,0
86,11.6,15.6,1004,0.8386705679454239,0.5446390350150272,17.06555,6.658484848,1
86,12.1,15.5,1003,0.8660254037844386,0.5000000000000001,10.60668,5.069090909,2
87,12.7,15.4,1003,0.8660254037844386,0.5000000000000001,9.80368,5.070606061,3
87,13.3,15.3,1003,0.8660254037844386,0.5000000000000001,11.30491,5.341818182,4
86,13.7,15.2,1003,0.8480480961564261,0.5299192642332049,8.96914,5.053939394,5
86,13.9,15.1,1003,0.8290375725550417,0.5591929034707468,8.9722,4.768787879,6
84,14.0,15.1,1004,0.8090169943749475,0.5877852522924731,10.38286,4.97969697,7
84,14.1,15.0,1004,0.788010753606722,0.6156614753256583,11.75882,5.880606061,8
83,14.2,14.9,1004,0.7771459614569708,0.6293203910498375,13.6684,5.80969697,9
83,14.4,14.7,1005,0.7771459614569708,0.6293203910498375,23.40798,7.873030303,10
83,14.4,14.5,1005,0.766044443118978,0.6427876096865394,26.58552,8.320909091,11
81,14.3,14.2,1005,0.754709580222772,0.6560590289905073,26.90625,8.303333333,12
80,14.2,14.1,1005,0.7431448254773941,0.6691306063588582,35.50059,10.33454545,13
80,14.1,13.9,1004,0.7313537016191705,0.6819983600624985,25.26384,8.047878788,14
80,14.0,13.8,1003,0.7193398003386511,0.6946583704589974,27.85831,8.243333333,15
80,13.9,13.7,1003,0.7071067811865476,0.7071067811865476,27.39856,8.5,16
80,13.9,13.7,1003,0.7071067811865476,0.7071067811865476,27.00594,8.110909091,17
80,14.0,13.7,1004,0.7193398003386511,0.6946583704589974,28.01185,8.088181818,18
80,14.1,13.8,1004,0.7313537016191705,0.6819983600624985,22.41299,6.975151515,19
80,14.2,13.8,1005,0.7431448254773941,0.6691306063588582,28.69717,7.894242424,20
81,14.2,13.8,1005,0.7431448254773941,0.6691306063588582,28.36601,7.849090909,21
81,14.2,13.8,1005,0.7313537016191705,0.6819983600624985,22.52763,6.889393939,22
82,14.2,13.8,1005,0.7313537016191705,0.6819983600624985,29.52456,7.954242424,23
82,14.3,13.8,1004,0.7313537016191705,0.6819983600624985,32.15051,8.973030303,0
82,14.3,13.9,1004,0.7431448254773941,0.6691306063588582,34.74216,9.518181818,1
82,14.3,14.0,1003,0.754709580222772,0.6560590289905073,35.91481,9.788787879,2
82,14.0,14.1,1002,0.754709580222772,0.6560590289905073,28.02793,8.396969697,3
82,13.7,14.2,1002,0.7431448254773941,0.6691306063588582,20.82571,7.568484848,4
83,13.2,14.2,1002,0.7431448254773941,0.6691306063588582,18.26781,6.855454545,5
83,12.9,14.2,1002,0.7313537016191705,0.6819983600624985,17.73351,7.271818182,6
84,12.5,14.2,1003,0.7193398003386511,0.6946583704589974,28.39899,9.11,7
85,12.4,14.2,1003,0.7071067811865476,0.7071067811865476,29.59917,8.59030303,8
85,12.3,14.2,1004,0.7071067811865476,0.7071067811865476,35.77385,10.03969697,9
86,12.4,14.3,1004,0.7071067811865476,0.7071067811865476,34.3973,9.631212121,10
87,12.3,14.3,1004,0.7071067811865476,0.7071067811865476,23.98116,7.748484848,11
86,11.4,14.5,1004,0.6427876096865393,0.766044443118978,36.14063,9.473030303,12
88,11.2,14.4,1004,0.6560590289905072,0.754709580222772,24.78147,8.042424242,13
90,11.1,14.4,1003,0.6691306063588582,0.7431448254773942,21.72331,7.951818182,14
90,11.0,14.5,1002,0.6819983600624985,0.7313537016191706,26.61989,8.57030303,15
