短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
93,3.3,21.4,1001,-0.6560590289905074,-0.7547095802227719,8.726330384,5.816248182,0
92,3.5,21.7,1001,-0.5150380749100542,-0.8571673007021123,2.191506281,3.718021515,1
92,4.2,22.0,1000,-0.2923717047227364,-0.9563047559630355,0.738380957,2.688661758,2
91,5.4,22.2,1000,-0.0871557427476579,-0.9961946980917455,0.096581374,2.655037576,3
91,6.6,22.3,1000,1.2246467991473532e-16,-1.0,0.564963065,3.168408485,4
91,7.2,22.3,1000,0.0348994967025007,-0.9993908270190958,0.799936364,2.907576667,5
91,6.7,22.1,1000,1.2246467991473532e-16,-1.0,0.568489102,3.106267879,6
92,5.5,21.8,1000,-0.0697564737441248,-0.9975640502598244,0.786331483,3.160505455,7
91,4.2,21.7,1000,-0.1391731009600655,-0.9902680687415704,1.415617644,3.315106061,8
91,3.4,21.8,1000,-0.1736481776669304,-0.984807753012208,0.902060096,3.356543636,9
92,2.7,21.9,1001,-0.1736481776669304,-0.984807753012208,5.845349501,4.64168697,10
92,2.3,21.9,1001,-0.2588190451025203,-0.9659258262890684,3.69878134,4.528032424,11
93,1.3,21.7,1001,-0.5299192642332048,-0.8480480961564261,6.770256129,4.834114848,12
94,1.3,21.4,1000,-0.7771459614569711,-0.6293203910498371,6.552746434,4.833626061,13
95,1.4,21.1,1000,-0.8290375725550414,-0.5591929034707472,2.707968711,4.119350606,14
95,1.6,21.0,1000,-0.7880107536067221,-0.6156614753256581,3.100423413,4.151606364,15
94,1.6,21.0,1000,-0.7313537016191701,-0.6819983600624989,4.150267947,4.448859091,16
93,1.6,21.1,1000,-0.7313537016191701,-0.6819983600624989,2.314430581,3.89105,17
93,1.4,21.2,1000,-0.8290375725550414,-0.5591929034707472,1.58764634,3.470761515,18
92,1.6,21.3,1001,-0.9659258262890684,-0.2588190451025206,1.510536348,3.492300606,19
92,1.8,21.5,1001,-0.9876883405951375,-0.156434465040231,-0.166788667,2.620669697,20
92,2.3,21.6,1001,-0.9659258262890684,-0.2588190451025206,0.192061857,3.024211212,21
92,3.0,21.7,1002,-0.913545457642601,-0.4067366430758001,-0.007959932,2.73921303,22
92,3.4,21.9,1002,-0.848048096156426,-0.529919264233205,0.003942113,3.230272424,23
