时间,短期预测湿度,实际功率,短期预测风速,实际风速,短期预测风向,短期预测温度,短期预测气压
2018/7/1 0:00,92,-0.22,4.9,3.02,224,27.1,1004
2018/7/1 0:15,96,-0.21,0.8,2.9,150,26.5,1004
2018/7/1 0:30,96,-0.21,0.8,2.27,140,26.5,1004
2018/7/1 0:45,96,-0.19,0.8,2.48,140,26.5,1003
2018/7/1 1:00,96,-0.18,0.7,2.43,135,26.4,1003
2018/7/1 1:15,96,-0.17,0.7,2.44,135,26.3,1003
2018/7/1 1:30,97,-0.16,0.7,1.98,135,26.3,1003
2018/7/1 1:45,97,-0.16,0.7,1.1,135,26.3,1003
2018/7/1 2:00,97,-0.15,0.8,1.25,140,26.2,1003
2018/7/1 2:15,97,-0.15,0.8,1.2,140,26.2,1003
2018/7/1 2:30,97,-0.14,0.7,0.83,146,26.1,1003
2018/7/1 2:45,97,-0.16,0.8,0.56,157,26.1,1003
2018/7/1 3:00,97,-0.14,0.9,0.58,159,26.1,1003
2018/7/1 3:15,96,-0.17,0.8,0.64,166,26.1,1003
2018/7/1 3:30,96,-0.16,0.8,1.43,173,26.1,1003
2018/7/1 3:45,96,-0.14,0.9,1.33,174,26.1,1003
2018/7/1 4:00,95,-0.15,0.9,0.85,180,26.1,1003
2018/7/1 4:15,95,-0.15,1,0.9,180,26.1,1003
2018/7/1 4:30,94,-0.14,1,0.84,180,26.2,1003
2018/7/1 4:45,94,-0.14,1,1.1,180,26.2,1003
2018/7/1 5:00,94,-0.14,1,1.2,180,26.3,1003
2018/7/1 5:15,94,-0.15,0.9,0.71,180,26.3,1003
2018/7/1 5:30,94,-0.14,0.8,0.95,180,26.4,1003
2018/7/1 5:45,93,-0.14,0.8,0.76,180,26.5,1003
2018/7/1 6:00,93,-0.14,0.7,1.45,180,26.6,1003
2018/7/1 6:15,93,-0.17,0.6,1.88,171,26.7,1004
2018/7/1 6:30,92,-0.14,0.5,2.28,169,26.8,1004
2018/7/1 6:45,92,-0.16,0.4,3.21,166,26.9,1004
2018/7/1 7:00,92,-0.1,0.3,3.25,162,27,1004
2018/7/1 7:15,91,-0.07,0.2,2.99,153,27.1,1004
2018/7/1 7:30,90,-0.17,0.2,2.57,153,27.2,1004
2018/7/1 7:45,90,-0.15,0.1,3.12,180,27.3,1004
2018/7/1 8:00,89,-0.15,0,2.46,0,27.4,1004
2018/7/1 8:15,88,-0.16,0.1,2.43,270,27.5,1004
2018/7/1 8:30,88,-0.16,0.2,2.43,243,27.6,1004
2018/7/1 8:45,88,-0.15,0.3,2.77,252,27.7,1004
2018/7/1 9:00,87,-0.15,0.4,2.66,243,27.8,1004
2018/7/1 9:15,86,-0.08,0.6,3.38,239,27.9,1004
2018/7/1 9:30,86,0.95,0.9,3.56,234,28,1004
2018/7/1 9:45,86,0.38,1.1,3.65,232,28.1,1004
2018/7/1 10:00,85,0.1,1.3,3.02,228,28.2,1004
2018/7/1 10:15,85,-0.16,1.5,2.19,222,28.3,1004
2018/7/1 10:30,84,-0.15,1.7,2.19,216,28.4,1004
2018/7/1 10:45,84,-0.15,2,2.28,213,28.5,1004
2018/7/1 11:00,84,-0.14,2.3,2.08,209,28.6,1004
2018/7/1 11:15,84,-0.07,2.6,2.87,203,28.7,1004
2018/7/1 11:30,84,0.44,3,3.01,200,28.7,1004
2018/7/1 11:45,83,0.15,3.3,3.08,196,28.8,1003
2018/7/1 12:00,83,0.42,3.7,2.93,193,28.8,1003
2018/7/1 12:15,83,1.18,4.1,3.7,190,28.9,1003
2018/7/1 12:30,83,2.14,4.4,4.08,188,28.9,1003
2018/7/1 12:45,83,1.04,4.7,3.69,186,28.9,1003
2018/7/1 13:00,83,1.5,5,4,185,28.9,1003
2018/7/1 13:15,84,1.6,5.2,3.71,184,28.9,1003
2018/7/1 13:30,84,0.65,5.3,3.73,184,28.9,1002
2018/7/1 13:45,84,1.33,5.5,4.14,184,28.9,1002
2018/7/1 14:00,84,2.88,5.5,4.62,185,28.9,1002
2018/7/1 14:15,84,3.24,5.4,4.8,187,28.9,1002
2018/7/1 14:30,85,4.66,5.4,5.59,190,28.8,1002
2018/7/1 14:45,85,6.28,5.2,5.54,191,28.7,1002
2018/7/1 15:00,85,11.08,5.1,7.07,195,28.7,1002
2018/7/1 15:15,86,10.15,4.8,6.66,198,28.6,1002
2018/7/1 15:30,86,2.86,4.6,4.57,202,28.5,1002
2018/7/1 15:45,86,-0.22,4.5,2.5,207,28.5,1002
2018/7/1 16:00,86,-0.22,4.3,2.34,211,28.4,1002
2018/7/1 16:15,86,-0.2,4.2,2.4,214,28.3,1002
2018/7/1 16:30,87,0.25,4.1,3.65,218,28.3,1002
2018/7/1 16:45,87,0.6,4,3.54,223,28.2,1002
2018/7/1 17:00,88,-0.19,4,1.55,225,28.1,1002
2018/7/1 17:15,88,-0.21,4,2.21,225,28,1002
2018/7/1 17:30,88,-0.2,4,1.23,225,27.9,1002
