短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
85,11.0,28.9,1003,-0.374606593415912,-0.9271838545667874,-0.22,3.02,0
86,12.3,28.7,1002,-0.374606593415912,-0.9271838545667874,-0.18,2.43,1
86,13.1,28.5,1002,-0.374606593415912,-0.9271838545667874,-0.15,1.25,2
87,13.1,28.4,1002,-0.3907311284892735,-0.9205048534524404,-0.14,0.58,3
87,12.6,28.3,1001,-0.4067366430757998,-0.9135454576426012,-0.15,0.85,4
88,12.1,28.2,1001,-0.438371146789077,-0.8987940462991671,-0.14,1.2,5
89,11.9,28.1,1001,-0.4539904997395462,-0.8910065241883681,-0.14,1.45,6
89,11.9,27.9,1002,-0.4694715627858908,-0.8829475928589269,-0.1,3.25,7
89,11.9,27.8,1002,-0.5000000000000001,-0.8660254037844386,-0.15,2.46,8
88,11.8,27.8,1003,-0.5446390350150271,-0.838670567945424,-0.15,2.66,9
88,11.7,27.8,1003,-0.587785252292473,-0.8090169943749475,0.1,3.02,10
88,11.5,27.8,1003,-0.6156614753256578,-0.7880107536067222,-0.14,2.08,11
89,11.2,27.8,1003,-0.601815023152048,-0.798635510047293,0.42,2.93,12
91,8.9,27.5,1001,-0.6691306063588582,-0.7431448254773942,1.5,4.0,13
92,8.1,27.4,1001,-0.6691306063588582,-0.7431448254773942,2.88,4.62,14
92,7.6,27.3,1001,-0.6691306063588582,-0.7431448254773942,11.08,7.07,15
93,7.4,27.2,1002,-0.6946583704589973,-0.7193398003386511,-0.22,2.34,16
92,7.6,27.3,1002,-0.7313537016191701,-0.6819983600624989,-0.19,1.55,17
90,7.9,27.5,1002,-0.743144825477394,-0.6691306063588585,-0.19,0.75,18
87,8.3,27.9,1002,-0.7313537016191701,-0.6819983600624989,-0.2,1.07,19
86,8.8,28.3,1002,-0.6946583704589973,-0.7193398003386511,-0.21,1.95,20
85,9.4,28.7,1002,-0.587785252292473,-0.8090169943749475,-0.19,2.85,21
85,10.2,28.9,1002,-0.4539904997395462,-0.8910065241883681,-0.21,1.29,22
84,11.0,29.0,1002,-0.374606593415912,-0.9271838545667874,-0.21,1.19,23
84,11.5,29.0,1002,-0.3255681544571567,-0.9455185755993168,-0.18,2.06,0
84,11.8,29.0,1001,-0.3090169943749477,-0.9510565162951536,-0.17,2.7,1
85,12.0,28.9,1001,-0.3090169943749477,-0.9510565162951536,-0.16,2.35,2
85,12.2,28.8,1000,-0.3090169943749477,-0.9510565162951536,-0.15,2.42,3
86,12.3,28.7,1000,-0.3255681544571567,-0.9455185755993168,-0.15,2.28,4
87,12.1,28.5,1000,-0.3583679495453004,-0.9335804264972016,-0.17,1.27,5
88,11.6,28.3,1000,-0.3907311284892735,-0.9205048534524404,-0.17,0.91,6
88,11.0,28.1,1001,-0.438371146789077,-0.8987940462991671,-0.14,1.13,7
89,10.6,28.0,1002,-0.4694715627858908,-0.8829475928589269,-0.13,1.85,8
90,10.6,27.9,1003,-0.4848096202463369,-0.8746197071393959,-0.15,1.89,9
91,10.7,27.8,1003,-0.5000000000000001,-0.8660254037844386,-0.13,2.23,10
91,10.9,27.8,1003,-0.5299192642332048,-0.8480480961564261,-0.14,2.16,11
91,11.2,27.8,1003,-0.5591929034707467,-0.8290375725550417,1.22,3.76,12
91,10.9,27.7,1001,-0.6293203910498376,-0.7771459614569708,2.17,4.36,13
92,11.0,27.6,1001,-0.6293203910498376,-0.7771459614569708,4.08,4.95,14
92,10.8,27.5,1001,-0.6560590289905074,-0.7547095802227719,8.18,5.89,15
92,10.3,27.5,1001,-0.6819983600624984,-0.7313537016191706,11.42,6.45,16
91,9.7,27.5,1002,-0.7071067811865475,-0.7071067811865477,19.68,8.33,17
89,9.1,27.7,1003,-0.7071067811865475,-0.7071067811865477,12.86,7.04,18
87,8.4,28.0,1003,-0.7071067811865475,-0.7071067811865477,13.78,7.45,19
84,8.2,28.4,1003,-0.6560590289905074,-0.7547095802227719,13.51,7.63,20
81,8.5,28.9,1003,-0.5735764363510458,-0.819152044288992,6.18,6.0,21
80,9.2,29.4,1002,-0.4848096202463369,-0.8746197071393959,6.04,5.77,22
80,10.2,29.6,1002,-0.4067366430757998,-0.9135454576426012,6.84,6.06,23
83,11.0,29.5,1002,-0.3583679495453004,-0.9335804264972016,14.9,7.76,0
85,11.8,29.1,1001,-0.3255681544571567,-0.9455185755993168,5.78,6.07,1
86,12.1,28.8,1001,-0.3090169943749477,-0.9510565162951536,0.99,3.89,2
87,12.0,28.6,1001,-0.3090169943749477,-0.9510565162951536,0.09,3.38,3
87,11.7,28.6,1001,-0.3420201433256686,-0.9396926207859084,1.72,4.3,4
88,11.3,28.5,1001,-0.3583679495453004,-0.9335804264972016,1.5,4.17,5
89,11.2,28.3,1001,-0.374606593415912,-0.9271838545667874,4.17,5.4,6
90,11.0,28.1,1002,-0.374606593415912,-0.9271838545667874,3.37,4.88,7
90,10.7,27.9,1002,-0.4067366430757998,-0.9135454576426012,5.32,5.41,8
91,10.2,27.8,1002,-0.4694715627858908,-0.8829475928589269,7.72,6.18,9
92,9.7,27.7,1003,-0.5150380749100542,-0.8571673007021123,10.51,6.69,10
91,9.4,27.7,1003,-0.5735764363510458,-0.819152044288992,6.58,6.11,11
91,9.6,27.7,1003,-0.601815023152048,-0.798635510047293,13.25,7.24,12
90,10.3,27.6,1002,-0.587785252292473,-0.8090169943749475,20.74,8.2,13
91,10.3,27.5,1002,-0.587785252292473,-0.8090169943749475,32.7,11.35,14
92,9.8,27.4,1002,-0.6156614753256578,-0.7880107536067222,34.17,10.74,15
92,9.0,27.4,1002,-0.6427876096865393,-0.766044443118978,14.01,7.32,16
91,8.4,27.5,1002,-0.6691306063588582,-0.7431448254773942,15.13,6.2,17
89,8.4,27.7,1002,-0.6560590289905074,-0.7547095802227719,16.79,7.78,18
88,8.6,28.0,1003,-0.6293203910498376,-0.7771459614569708,13.56,7.36,19
86,9.1,28.3,1003,-0.587785252292473,-0.8090169943749475,15.02,7.45,20
85,9.5,28.7,1003,-0.5299192642332048,-0.8480480961564261,18.99,8.35,21
83,9.9,29.0,1002,-0.4694715627858908,-0.8829475928589269,10.82,7.08,22
82,10.2,29.3,1002,-0.438371146789077,-0.8987940462991671,6.34,5.9,23
82,10.4,29.4,1002,-0.4226182617406993,-0.90630778703665,6.04,5.98,0
82,10.6,29.4,1001,-0.4226182617406993,-0.90630778703665,3.35,5.18,1
83,10.6,29.3,1001,-0.4067366430757998,-0.9135454576426012,1.83,4.38,2
84,10.6,29.1,1001,-0.3907311284892735,-0.9205048534524404,4.79,5.48,3
85,10.6,28.8,1001,-0.3583679495453004,-0.9335804264972016,3.39,5.28,4
86,10.5,28.5,1001,-0.3255681544571567,-0.9455185755993168,7.63,6.23,5
88,10.4,28.2,1001,-0.3255681544571567,-0.9455185755993168,6.27,6.15,6
