短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
52,11.4,26.1,1015,0.6293203910498374,0.7771459614569709,5.08,5.6,0
52,12.2,26.5,1015,0.6427876096865393,0.766044443118978,3.36,5.07,1
54,12.5,26.5,1014,0.6560590289905072,0.754709580222772,3.17,5.28,2
58,12.6,25.9,1014,0.6560590289905072,0.754709580222772,3.88,5.08,3
64,12.3,25.2,1014,0.6560590289905072,0.754709580222772,4.2,5.1,4
69,11.9,24.4,1014,0.6560590289905072,0.754709580222772,4.36,5.16,5
72,11.7,23.9,1014,0.6427876096865393,0.766044443118978,2.52,4.35,6
73,11.7,23.6,1015,0.6293203910498374,0.7771459614569709,2.89,4.69,7
73,11.5,23.4,1015,0.6156614753256582,0.788010753606722,2.26,4.45,8
72,11.5,23.4,1015,0.5877852522924731,0.8090169943749475,3.43,5.05,9
70,11.3,23.4,1015,0.5446390350150271,0.838670567945424,10.04,6.74,10
69,11.1,23.3,1015,0.484809620246337,0.8746197071393957,19.02,8.28,11
69,10.7,23.1,1015,0.4067366430758001,0.9135454576426008,15.98,8.07,12
67,9.4,22.6,1014,0.224951054343865,0.9743700647852352,15.31,7.87,13
67,9.5,22.3,1014,0.2079116908177593,0.9781476007338056,20.96,8.99,14
67,9.7,22.0,1014,0.2419218955996677,0.9702957262759964,15.1,7.38,15
67,9.8,21.7,1014,0.2588190451025207,0.9659258262890684,17.37,7.98,16
65,9.7,21.6,1014,0.2756373558169991,0.9612616959383188,17.82,8.15,17
62,9.3,21.8,1014,0.224951054343865,0.9743700647852352,21.45,8.5,18
59,9.0,22.1,1015,0.1736481776669303,0.984807753012208,23.48,8.29,19
55,9.0,22.7,1015,0.1391731009600654,0.9902680687415704,25.71,9.77,20
52,9.3,23.6,1015,0.2079116908177593,0.9781476007338056,31.63,10.24,21
49,9.7,24.6,1014,0.3255681544571566,0.9455185755993168,28.3,9.65,22
46,9.8,25.5,1013,0.4226182617406994,0.90630778703665,19.08,8.61,23
44,9.6,26.2,1012,0.5150380749100542,0.8571673007021123,11.48,7.08,0
44,9.3,26.5,1011,0.6156614753256582,0.788010753606722,6.32,5.83,1
46,9.3,26.5,1010,0.7193398003386511,0.6946583704589974,9.24,6.49,2
49,10.0,26.0,1010,0.7986355100472928,0.6018150231520484,19.06,8.45,3
55,10.6,25.4,1010,0.8386705679454239,0.5446390350150272,21.22,8.29,4
59,10.8,24.9,1010,0.8386705679454239,0.5446390350150272,16.86,7.72,5
62,9.9,24.4,1010,0.7771459614569708,0.6293203910498375,18.56,8.21,6
64,8.6,23.9,1011,0.6560590289905072,0.754709580222772,20.61,8.76,7
65,7.7,23.6,1011,0.5150380749100542,0.8571673007021123,20.7,8.19,8
65,7.1,23.3,1011,0.374606593415912,0.9271838545667874,41.09,12.01,9
64,6.8,23.1,1010,0.2756373558169991,0.9612616959383188,40.94,13.45,10
65,6.1,22.8,1010,0.1736481776669303,0.984807753012208,43.31,13.02,11
66,5.5,22.4,1010,-0.0174524064372844,0.9998476951563912,40.52,12.45,12
60,4.7,22.3,1008,-0.4226182617407,0.9063077870366496,34.8,11.33,13
61,4.7,22.0,1008,-0.5299192642332058,0.8480480961564254,37.48,12.53,14
62,4.8,21.7,1008,-0.6293203910498378,0.7771459614569706,40.38,12.44,15
62,4.7,21.5,1008,-0.6946583704589976,0.7193398003386509,35.74,11.02,16
59,4.4,21.5,1008,-0.7071067811865477,0.7071067811865474,32.63,10.62,17
56,3.7,21.8,1009,-0.6560590289905074,0.7547095802227719,30.61,10.53,18
52,2.7,22.3,1009,-0.544639035015027,0.838670567945424,14.73,7.48,19
50,1.9,23.0,1010,-0.4694715627858908,0.882947592858927,25.19,9.54,20
49,1.3,24.0,1010,-0.6691306063588581,0.7431448254773942,13.25,7.28,21
48,1.2,25.0,1010,-0.9961946980917455,0.0871557427476578,10.0,7.07,22
49,1.8,25.9,1009,-0.8290375725550414,-0.5591929034707472,7.75,6.38,23
51,2.9,26.5,1008,-0.5591929034707467,-0.8290375725550417,6.0,5.95,0
54,3.9,26.6,1007,-0.2923717047227364,-0.9563047559630355,5.93,5.77,1
56,4.7,26.6,1007,-0.0697564737441248,-0.9975640502598244,5.69,5.63,2
59,5.1,26.4,1007,0.1908089953765449,-0.981627183447664,4.7,5.68,3
62,5.1,26.1,1007,0.4067366430758004,-0.9135454576426008,7.11,6.07,4
64,4.7,25.7,1008,0.4848096202463371,-0.8746197071393957,5.14,5.45,5
67,3.5,25.4,1009,0.3746065934159122,-0.9271838545667872,5.2,5.45,6
70,2.5,25.1,1009,-0.0348994967025009,-0.9993908270190958,5.94,5.79,7
72,2.6,24.9,1010,-0.6293203910498376,-0.7771459614569708,16.93,8.11,8
74,3.0,24.7,1010,-0.7986355100472928,-0.6018150231520483,29.33,9.89,9
76,3.0,24.5,1010,-0.882947592858927,-0.4694715627858907,27.16,9.55,10
78,2.4,24.2,1010,-0.9659258262890684,-0.2588190451025206,22.87,9.15,11
80,1.9,23.8,1010,-0.8829475928589271,0.4694715627858904,38.08,11.15,12
81,2.5,22.1,1010,-0.5591929034707473,0.8290375725550414,39.82,12.01,13
77,3.2,21.5,1010,0.0,1.0,42.05,12.77,14
71,4.2,21.5,1010,0.3583679495453002,0.9335804264972016,39.77,13.7,15
64,4.9,21.8,1011,0.5446390350150271,0.838670567945424,40.59,13.39,16
58,5.2,22.2,1012,0.573576436351046,0.8191520442889918,33.27,11.02,17
53,5.1,22.6,1013,0.4539904997395467,0.8910065241883679,37.0,12.08,18
51,4.9,23.1,1013,0.2923717047227367,0.9563047559630354,37.31,11.9,19
53,4.9,23.8,1014,0.2419218955996677,0.9702957262759964,30.86,10.37,20
56,5.3,24.9,1014,0.4539904997395467,0.8910065241883679,23.58,9.12,21
60,6.0,25.9,1014,0.7193398003386511,0.6946583704589974,13.6,7.37,22
61,7.0,26.7,1014,0.8746197071393957,0.4848096202463371,11.0,7.03,23
